"TICKER","NAME"
AEIS,Advanced Energy 
AMRC,Ameresco, Inc. 
AMRS,Amyris, Inc.
AVX,AVX Corporation
BLDP,Ballard Power Systems
CSIQ,Canadian Solar 
CPST,Capstone Turbine
MY,China Ming Yang Wind
CREE,Cree, Inc.
ENOC,EnerNOC, Inc.
ENPH,Enphase Energy, Inc.
ESE,Esco Technologies
FCS,Fairchild Semiconductor
FSLR,First Solar, Inc.
FCEL,FuelCell Energy
GPRE,Green Plains, Inc
GTAT,GT Advanced Technologies
HASI,Hannon Armstrong
HXL,Hexcel Corporation
HYGS,Hydrogenics Corporation
IRF,International Rectifier
ITC,ITC Holdings Corp
ITRI,Itron, Inc.
IXYS,IXYS Corporation
JASO,JA Solar Holdings
JKS,JinkoSolar 
LLTC,Linear Technology
MXWL,Maxwell Technologies
MSCC,Microsemi Corp
ONNN,ON Semiconductor
OPWR,Opower, Inc.
PEIX,Pacific Ethanol
PEGI,Pattern Energy 
PLUG,Plug Power, Inc.
POWI,Power Integrations
POWR,PowerSecure 
SOL,Renesola Ltd.
REGI,Renewable Energy
RVLT,Revolution Lighting
RBCN,Rubicon Technology
SSNI,Silver Spring Networks
SCTY,SolarCity Corporation
SZYM,Solazyme, Inc.
SUNE,SunEdison, Inc.
SPWR,SunPower Corporation
TSLA,Tesla Motors, Inc
TSL,Trina Solar 
OLED,Universal Display
VECO,Veeco Instruments
YGE,Yingli Green Energy